State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Months,Temperature,Rainfall,Humidity,Sun hours
Andhra Pradesh,CHITTOOR,2001,Whole Year ,Potato,6.932447892,9.153558358,2.324893005,November,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Kharif     ,Dry chillies,6.253828812,6.674561392,0.925878533,February,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Kharif     ,Sunflower,7.64921632,7.186144305,0.488071075,March,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Rabi       ,Dry chillies,7.696212639,8.355614996,1.076387449,September,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Banana,6.867974409,10.83647806,3.988231449,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Beans & Mutter(Vegetable),7.31986493,8.960467761,1.818244588,May,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Cabbage,1.609437912,0,0,February,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Cucumber,2.197224577,0,0,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Grapes,3.610917913,6.513230111,2.980336588,September,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Mango,10.77551287,12.72193357,2.079903972,January,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Potato,7.027314514,9.187787968,2.270274729,December,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2002,Whole Year ,Tomato,9.731452904,11.84286211,2.225736885,August,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Kharif     ,Dry chillies,6.023447593,6.922643891,1.241605252,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Kharif     ,Sunflower,7.849323818,7.305860033,0.457785317,April,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Rabi       ,Dry chillies,7.934871566,8.671286727,1.127790829,July,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Banana,6.376726948,9.962840778,3.615053188,June,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Beans & Mutter(Vegetable),7.218909708,8.830981511,1.794444035,May,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Cabbage,4.304065093,0,0,November,5.081265151,0.006009385,2.255553986,2.998331192
Andhra Pradesh,CHITTOOR,2003,Whole Year ,Cucumber,0.693147181,0,0,December,5.081265151,0.006009385,2.255553986,2.998331192
